"Component","Trait","Proportion","vcov","sdcor"
"G x E","DTE",26.9310419792499,2.86276163742336,1.69196975074124
"Genetic","DTE",4.32953206341579,0.460227952141283,0.67840102604675
"Rep:Env","DTE",11.7371587881886,1.24765643813788,1.11698542431756
"Residual + Env","DTE",57.0022671691458,6.05932380275962,2.46156937801063
"G x E","DTF",36.6611116648271,33.9661504512757,5.82804859719578
"Genetic","DTF",54.9480010470778,50.9087691509504,7.1350381324104
"Rep:Env","DTF",1.20647023925624,1.11778251669547,1.0572523429605
"Residual + Env","DTF",7.1844170488388,6.65628998423661,2.57997867902752
"G x E","DTS",34.5992030839921,26.2159453895871,5.12015091472772
"Genetic","DTS",55.3039879687062,41.9040382200242,6.47333285255935
"Rep:Env","DTS",0.968230342159623,0.733631746169952,0.856523056414684
"Residual + Env","DTS",9.12857860514205,6.91675810035289,2.62997302274242
"G x E","DTM",31.3011301270238,17.8398353573959,4.22372292621046
"Genetic","DTM",54.5846603550477,31.1101020896594,5.57764305864578
"Rep:Env","DTM",1.22970759399684,0.70086226681327,0.83717517092498
"Residual + Env","DTM",12.8845019239316,7.34342153309485,2.70987481871301
"G x E","VEG",34.528198021617,32.1466052931669,5.66979764128905
"Genetic","VEG",53.5668296511036,49.8720416432462,7.06201399341903
"Rep:Env","VEG",0.870459398305869,0.810419202402265,0.900232860099133
"Residual + Env","VEG",11.0345129289735,10.2734041176426,3.20521514373725
"G x E","REP",44.7874200696934,12.2500463641939,3.50000662345
"Genetic","REP",17.8856845019141,4.89200905215909,2.21178865449642
"Rep:Env","REP",1.98765152902366,0.543653180926958,0.737328407785132
"Residual + Env","REP",35.3392438993688,9.66582526006586,3.10899103570047
