"Component","Trait","Proportion","vcov","sdcor"
"G x E","DTE",9.5330590629153,0.285792098015347,0.534595265612544
"Genetic","DTE",8.77663468600297,0.263115210329977,0.512947570741862
"Rep:Env","DTE",21.139287578076,0.633735856204857,0.796075283000833
"Residual + Env","DTE",60.5510186730057,1.81526229401465,1.34731670145317
"G x E","DTF",10.6351440609266,1.66374811444213,1.28986360303798
"Genetic","DTF",73.7281142141789,11.5339303635655,3.39616406605533
"Rep:Env","DTF",2.07572449690667,0.324723642486224,0.569845279427867
"Residual + Env","DTF",13.5610172279879,2.12146790995291,1.45652597297574
"G x E","DTS",7.93190527345996,1.52170922487323,1.23357578805407
"Genetic","DTS",70.015391765481,13.4322163287977,3.66499881702542
"Rep:Env","DTS",1.18391654625023,0.227130388954224,0.476581985553613
"Residual + Env","DTS",20.8687864148088,4.0036061582303,2.00090133645572
"G x E","DTM",15.1202018624,2.98851725288012,1.72873284601182
"Genetic","DTM",57.7818773395347,11.4206238054545,3.37944134517149
"Rep:Env","DTM",2.25658707678042,0.446015831862325,0.667844167349184
"Residual + Env","DTM",24.8413337212848,4.90990497919376,2.21583053936752
"G x E","VEG",9.8371318162908,1.73573676844344,1.31747363102396
"Genetic","VEG",70.7000818557872,12.474848756812,3.53197519198706
"Rep:Env","VEG",1.8516376571429,0.326716732413296,0.571591403375957
"Residual + Env","VEG",17.6111486707791,3.1074421745343,1.76279385480387
"G x E","REP",28.6762997452534,3.88177453385428,1.97022195040414
"Genetic","REP",24.0503269482781,3.2555785616709,1.80432218898702
"Rep:Env","REP",2.94940210643874,0.399246558606821,0.631859603556693
"Residual + Env","REP",44.3239712000297,5.99992551940197,2.44947453944759
