"Component","Trait","Proportion","vcov","sdcor"
"G x E","DTE",25.4711764441778,1.2962620548804,1.1385350477172
"Genetic","DTE",6.24762095739317,0.317949742058165,0.563870323796319
"Rep:Env","DTE",3.54193072345722,0.180253566532148,0.424562794568893
"Residual + Env","DTE",64.7392718749718,3.29466767175154,1.81512194404441
"G x E","DTF",9.03697251182667,11.3382810017011,3.3672364041898
"Genetic","DTF",86.2478764755663,108.211312804171,10.402466669217
"Rep:Env","DTF",0.20820753742906,0.261228587666213,0.511105260847718
"Residual + Env","DTF",4.506943475178,5.65465829551606,2.37795254273841
"G x E","DTS",12.1053001630448,13.2178117193525,3.63563085575976
"Genetic","DTS",80.6819385482249,88.0968384525017,9.38599160731042
"Rep:Env","DTS",0.243437428043268,0.265810020898316,0.515567668592898
"Residual + Env","DTS",6.96932386068695,7.60982456948677,2.75859104788781
"G x E","DTM",12.264911836934,10.2597565898341,3.20308547963273
"Genetic","DTM",76.6374486542929,64.1082120534431,8.0067603969048
"Rep:Env","DTM",0.765428350059843,0.640290665190415,0.800181645122166
"Residual + Env","DTM",10.3322111587133,8.64302760040589,2.93990265151857
"G x E","VEG",8.34326810777431,11.0990185750968,3.33151895913813
"Genetic","VEG",85.0892285680972,113.193884724616,10.6392614745863
"Rep:Env","VEG",0.129957131769228,0.172881489704127,0.415790199143904
"Residual + Env","VEG",6.43754619235926,8.56384378927737,2.92640458400362
"G x E","REP",41.6504454664026,15.1875989488499,3.89712701215266
"Genetic","REP",24.8617426531148,9.06569359239163,3.01092902480142
"Rep:Env","REP",0.804629135348627,0.293403455194553,0.541667291974098
"Residual + Env","REP",32.683182745134,11.9177374058453,3.45220761337514
