Entity,Code,Year,"GDP per capita, PPP (constant 2021 international $)"
Canada,CAN,1990,39863.066
Canada,CAN,1991,38547.465
Canada,CAN,1992,38433.09
Canada,CAN,1993,39023.324
Canada,CAN,1994,40332.875
Canada,CAN,1995,40988.4
Canada,CAN,1996,41247.254
Canada,CAN,1997,42587.367
Canada,CAN,1998,43879.566
Canada,CAN,1999,45761.93
Canada,CAN,2000,47667.434
Canada,CAN,2001,48036.625
Canada,CAN,2002,48943.543
Canada,CAN,2003,49381.594
Canada,CAN,2004,50436.293
Canada,CAN,2005,51564.844
Canada,CAN,2006,52391.38
Canada,CAN,2007,52948.9
Canada,CAN,2008,52899.477
Canada,CAN,2009,50772.87
Canada,CAN,2010,51763.676
Canada,CAN,2011,52869.387
Canada,CAN,2012,53217.715
Canada,CAN,2013,53884.844
Canada,CAN,2014,54880.86
Canada,CAN,2015,54819.188
Canada,CAN,2016,54765.305
Canada,CAN,2017,55756.26
Canada,CAN,2018,56470.46
Canada,CAN,2019,56713.09
Canada,CAN,2020,53274.91
Canada,CAN,2021,55781.7
Canada,CAN,2022,56872.605
Canada,CAN,2023,55918.93
United States,USA,1990,44378.523
United States,USA,1991,43742.027
United States,USA,1992,44659.152
United States,USA,1993,45286.934
United States,USA,1994,46537.355
United States,USA,1995,47220.957
United States,USA,1996,48435.7
United States,USA,1997,49984.27
United States,USA,1998,51619.87
United States,USA,1999,53474.047
United States,USA,2000,55038.62
United States,USA,2001,55017.305
United States,USA,2002,55436.117
United States,USA,2003,56498.207
United States,USA,2004,58131.633
United States,USA,2005,59604.754
United States,USA,2006,60676.566
United States,USA,2007,61306.598
United States,USA,2008,60798.434
United States,USA,2009,58714.973
United States,USA,2010,59799.285
United States,USA,2011,60294.98
United States,USA,2012,61224.406
United States,USA,2013,62089.348
United States,USA,2014,63191.246
United States,USA,2015,64575.406
United States,USA,2016,65275.57
United States,USA,2017,66458.02
United States,USA,2018,68070.21
United States,USA,2019,69511.766
United States,USA,2020,67352.39
United States,USA,2021,71318.305
United States,USA,2022,72841.92
United States,USA,2023,74577.51
