"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1974/1975","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","168751","","","","0"
"1975/1976","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","166428","","","","0"
"1976/1977","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","165747","","","","0"
"1977/1978","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","169030","","","","0"
"1978/1979","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","165805","","","","0"
"1979/1980","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","171460","","","","0"
"1980/1981","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","170535","","","","0"
"1981/1982","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","172352","","","","0"
"1982/1983","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","176522","","","","0"
"1983/1984","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","174159","","","","0"
"1984/1985","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","179085","","","","0"
"1985/1986","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","183353","","","","0"
"1986/1987","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","182599","","","","0"
"1987/1988","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","189917","","","","0"
"1988/1989","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","188408","","","","0"
"1989/1990","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","192608","","","","0"
"1990/1991","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","192439","","","","0"
"1991/1992","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","196967","","","","0"
"1992/1993","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","201808","","","","0"
"1993/1994","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","206464","","","","0"
"1994/1995","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","209389","","","","0"
"1995/1996","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","209766","","","","0"
"1996/1997","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","217221","","","","0"
"1997/1998","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","217688","","","","0"
"1998/1999","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","217632","","","","0"
"1999/2000","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","217229","","","","0"
"2000/2001","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","219320","","","","0"
"2001/2002","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","220847","","","","0"
"2002/2003","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","224254","","","","0"
"2003/2004","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","229256","","","","0"
"2004/2005","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","230211","","","","0"
"2005/2006","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","225915","","","","0"
"2006/2007","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","234193","","","","0"
"2007/2008","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","236696","","","","0"
"2008/2009","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","237896","","","","0"
"2009/2010","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","237330","","","","0"
"2010/2011","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","245667","","","","0"
"2011/2012","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","242669","","","","0"
"2012/2013","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","251865","","","","0"
"2013/2014","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","253122","","","","0"
"2014/2015","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","266313","","","","0"
"2015/2016","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","262278","","","","0"
"2016/2017","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","274517","","","","0"
"2017/2018","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","283939","","","","0"
"2018/2019","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","283148","","","","0"
"2019/2020","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","297195","","","","0"
"2020/2021","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","307297","","","","0"
"2021/2022","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","323105","","","","0"
"2022/2023","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","337708","","","","0"
"2023/2024","Canada","2016A000011124","Deaths","Persons","249","units","0","v391084","1.2","344593","","","","0"
"1971/1972","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","117036","","","","0"
"1972/1973","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","138526","","","","0"
"1973/1974","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","217456","","","","0"
"1974/1975","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","209283","","","","0"
"1975/1976","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","170028","","","","0"
"1976/1977","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","130931","","","","0"
"1977/1978","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","100967","","","","0"
"1978/1979","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","84518","","","","0"
"1979/1980","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","143825","","","","0"
"1980/1981","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","127238","","","","0"
"1981/1982","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","135339","","","","0"
"1982/1983","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","101404","","","","0"
"1983/1984","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","88592","","","","0"
"1984/1985","Canada","2016A000011124","Immigrants","Persons","249","units","0","v391099","1.3","83925","","","","0"
