marker,lg,cM
Lcu.2RBY.Chr1p102694,LG1,0
Lcu.2RBY.Chr1p890646,LG1,7.073
Lcu.2RBY.Chr1p1003850,LG1,7.737
Lcu.2RBY.Chr1p1275060,LG1,10.598
Lcu.2RBY.Chr1p1363775,LG1,11.437
Lcu.2RBY.Chr1p1363771,LG1,11.848
Lcu.2RBY.Chr1p1987560,LG1,13.559
Lcu.2RBY.Chr1p2275880,LG1,15.756
Lcu.2RBY.Chr1p26220339,LG1,34.086
Lcu.2RBY.Chr1p32458546,LG1,35.804
Lcu.2RBY.Chr1p194766879,LG1,40.41
Lcu.2RBY.Chr1p259763731,LG1,40.422
Lcu.2RBY.Chr1p192301814,LG1,40.422
Lcu.2RBY.Chr1p172202065,LG1,40.422
Lcu.2RBY.Chr1p233212270,LG1,40.422
Lcu.2RBY.Chr1p308381690,LG1,40.834
Lcu.2RBY.Chr1p294441280,LG1,40.834
Lcu.2RBY.Chr1p340354632,LG1,45.035
Lcu.2RBY.Chr1p329995337,LG1,45.059
Lcu.2RBY.Chr1p329995223,LG1,45.063
Lcu.2RBY.Chr1p358853806,LG1,47.808
Lcu.2RBY.Chr1p359388382,LG1,47.808
Lcu.2RBY.Chr1p361346650,LG1,48.22
Lcu.2RBY.Chr1p367652710,LG1,49.723
Lcu.2RBY.Chr1p388909186,LG1,54.052
Lcu.2RBY.Chr1p392489732,LG1,57.392
Lcu.2RBY.Chr1p392491404,LG1,57.392
Lcu.2RBY.Chr1p402225445,LG1,61.166
Lcu.2RBY.Chr1p405909813,LG1,63.899
Lcu.2RBY.Chr1p409936435,LG1,63.899
Lcu.2RBY.Chr1p414205922,LG1,65.291
Lcu.2RBY.Chr1p426885923,LG1,66.029
Lcu.2RBY.Chr1p424262653,LG1,66.878
Lcu.2RBY.Chr1p426886144,LG1,67.374
Lcu.2RBY.Chr1p430140035,LG1,69.436
Lcu.2RBY.Chr1p429507857,LG1,69.453
Lcu.2RBY.Chr1p431601774,LG1,69.864
Lcu.2RBY.Chr1p432641640,LG1,70.275
Lcu.2RBY.Chr1p434680444,LG1,71.528
Lcu.2RBY.Chr1p438823304,LG1,71.538
Lcu.2RBY.Chr1p437818681,LG1,71.548
Lcu.2RBY.Chr1p440020057,LG1,72.801
Lcu.2RBY.Chr1p442024707,LG1,72.801
Lcu.2RBY.Chr1p439906543,LG1,72.801
Lcu.2RBY.Chr1p439906554,LG1,73.216
Lcu.2RBY.Chr1p444280060,LG1,73.628
Lcu.2RBY.Chr1p469728804,LG1,76.736
Lcu.2RBY.Chr1p470530811,LG1,77.571
Lcu.2RBY.Chr1p473844153,LG1,77.571
Lcu.2RBY.Chr1p487791112,LG1,77.983
Lcu.2RBY.Chr1p478603655,LG1,79.246
Lcu.2RBY.Chr1p489488338,LG1,81.408
Lcu.2RBY.Chr1p501804583,LG1,85.003
Lcu.2RBY.Chr1p501804536,LG1,85.003
Lcu.2RBY.Chr1p504826210,LG1,86.317
Lcu.2RBY.Chr1p513315454,LG1,90.083
Lcu.2RBY.Chr1p518039207,LG1,93.06
Lcu.2RBY.Chr1p523701382,LG1,102.028
Lcu.2RBY.Chr1p523701129,LG1,102.028
Lcu.2RBY.Chr1p523905664,LG1,102.028
Lcu.2RBY.Chr1p524388873,LG1,102.924
Lcu.2RBY.Chr1p524388913,LG1,103.375
Lcu.2RBY.Chr1p527077138,LG1,104.733
Lcu.2RBY.Chr1p527668800,LG1,106.219
Lcu.2RBY.Chr1p528985636,LG1,108.925
Lcu.2RBY.Chr1p529784548,LG1,112.038
Lcu.2RBY.Chr1p532317716,LG1,114.92
Lcu.2RBY.Chr1p536882416,LG1,115.459
Lcu.2RBY.Chr1p536677953,LG1,115.535
Lcu.2RBY.Chr1p531934591,LG1,115.535
Lcu.2RBY.Chr1p532317886,LG1,115.535
Lcu.2RBY.Chr1p532357162,LG1,115.535
Lcu.2RBY.Chr1p532529259,LG1,115.535
